S.No,Year,State,Registration No,Association name,Address,Amount of FC Received
156,2018-2019,Tamil Nadu,076040430,GLOBAL DEVELOPMENT ORIENTATION TRUST,"MALAIYAPPA NAGAR
MAHADEVI VILLAGE POST
MUSIRI TALUK
TRICHY DISTRICT - 621214.TRICHY621214",0.00
157,2018-2019,Tamil Nadu,075850273,GLORY  OF   GODS MINISTRY  TRUST,NO 6 B BALASUNDAR LAY OUTSINGANALLUR .P.OCOIMBATORE641005,0.00
158,2018-2019,Tamil Nadu,075990097,Gnanam Educational and Social Trust (GEST),2/1657-2 Om Sakthi Nagar Allwin School near Collectorate PostRamanathapuram623503,0.00
159,2018-2019,Tamil Nadu,075940496,Good Hope(A Development Professional Group),24A/60 7th Street Jawahar Nagar Tirumangalam MaduraiTamilnadu-625706,399895.00
160,2018-2019,Tamil Nadu,075840036,Good Samaritan Fellowship of India,41/18-Asambu Road Opp CBH NagercoilTamilNadu-629001,966487.00
161,2018-2019,Tamil Nadu,075850009,Good Shepherd Education Trust,Good Shepherd Seminary Myleripalayam P.O OthakalmandapamCoimbatore641032,3569885.00
162,2018-2019,Tamil Nadu,075820405,GOODWILL HANDS,38 MUKKANNIAMMAN KOIL STREET PERIYAR NAGAR TIRUSULAM CHENNAI 600043CHENNAI600043,125753.18
163,2018-2019,Tamil Nadu,076000165,Gospel for Nations Trust,19 Yercaud RoadSalem636007,7569547.00
164,2018-2019,Tamil Nadu,076110020,Gospel Voice Mission Trust,191 satchiapuram RoadThiruthangal VirudhunagarTamilnadu-626130,0.00
165,2018-2019,Tamil Nadu,075850249,GRACE HAPPY HOME TRUST,No. 870 DHANDAPANI STREET P.N. PALAYAM PALAIYURCOIMBATORE641037,39410.00
166,2018-2019,Tamil Nadu,075970102,Grace Mission Trust,61 B Moubray HouseChurch Hill Rd. OotacumandThe NilgirisTamilnadu-643001,1221265.00
167,2018-2019,Tamil Nadu,075940465,Grace Peter Charitable Trust,Plot No.25Narmadha Nadhi 4th StreetMahatma Gandhi NagarMadurai Tamilnadu-625014,141300.00
168,2018-2019,Tamil Nadu,075901037,Grace to Children Minisstries,7A1st StreetEswari Nagar Gowrivakkam ChennaiTamilnadu-601302,510178.00
169,2018-2019,Tamil Nadu,075940471,Grace Trust,No.26 Karthiga Nagar.Opp. Venkateshwara ITIThanakankulamMadurai Tamilnadu-625006,2873753.00
170,2018-2019,Tamil Nadu,076030277,Grail Trust (india),Chinnammalpuram Dhalapathisamudram (po)Tirunelveli Distt. (tamil Nadu)-627101,1770805.00
171,2018-2019,Tamil Nadu,076040408,GRAMA UDHAYA TRUST,Vandarampalayam Pudurpalayam Post Lalgudi TalukTrichirappalli621711,0.00
172,2018-2019,Tamil Nadu,076040148,Gramium,Kanakkapillaiyoor Pappakkapati Kulithalai Tq KarurTamil Nadu-639139,7783195.50
173,2018-2019,Tamil Nadu,075890167,Gramiya Social Welfare Society,35 Railway Street Malliyam Mayiladuthurai- TalukNagapattinam-609806 T.n.-,0.00
174,2018-2019,Tamil Nadu,075820392,GRAMIYA VALARCHI SANGAM,PUKKATHURAI VILLAGE PADALAM VIA MADURANTAKAM TALUKMADURANTAKAM603308,0.00
175,2018-2019,Tamil Nadu,076040002,Gramodaya,277 Dindigul Road ManaparaiTiruchirappali-,0.00
176,2018-2019,Tamil Nadu,076030107,Gramodhaya Social Service Society,3/205B Tiruchendur Road Vittilapuram Vilakku Krishnapuram Post Maharaja Nagar ViaKrishnapuram627011,3396735.00
177,2018-2019,Tamil Nadu,075940562,GRAND ALLIANCE TRUST,E-230 SRINIVASA ROAD NEAR INDIAN BANK T.V.S. NAGARMADURAI625003,0.00
178,2018-2019,Tamil Nadu,075980307,GREAT TRUST,HEAD OFFICE  No 10 Ramsait Nagar ThorapadiVellore632002,0.00
